city,state,postcode,country,can_contact,sold_date,event_date,event_desc,num_tickets,estimated_price,is_international,region_category,sold_month,event_month,days_until_event,total_value
Sydney,NSW,2155,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Strathfield,NSW,2135,AU,N,2025-02-24,2025-04-12,Single Day Entry,4,50,False,Australia,2025-02,2025-04,47,200
Bondi,NSW,2026,AU,N,2025-02-24,2025-04-17,Single Day Entry,3,50,False,Australia,2025-02,2025-04,52,150
Penrith,NSW,2750,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Fairy Meadow,NSW,2519,AU,Y,2025-02-24,2025-04-16,Reserved Seating,4,50,False,Australia,2025-02,2025-04,51,200
Fairy Meadow,NSW,2519,AU,Y,2025-02-24,2025-04-16,Reserved Seating,1,50,False,Australia,2025-02,2025-04,51,50
Largs,NSW,2320,AU,N,2025-02-24,2025-04-12,Single Day Entry,8,50,False,Australia,2025-02,2025-04,47,400
Thornton,NSW,2322,AU,N,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Abermain,NSW,2326,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Abermain,NSW,2326,AU,Y,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Abermain,NSW,2326,AU,Y,2025-02-24,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,47,100
Abermain,NSW,2326,AU,Y,2025-02-24,2025-04-12,Single Day Entry,4,50,False,Australia,2025-02,2025-04,47,200
South Penrith,NSW,2750,AU,Y,2025-02-24,2025-04-22,Single Day Entry,2,50,False,Australia,2025-02,2025-04,57,100
South Penrith,NSW,2750,AU,Y,2025-02-24,2025-04-22,Single Day Entry,4,50,False,Australia,2025-02,2025-04,57,200
Gyeonggido,,15348,KR,N,2025-02-24,2025-04-20,After 4pm Entry,2,35,True,International,2025-02,2025-04,55,70
Pymble,NSW,2073,AU,Y,2025-02-24,2025-04-18,Reserved Seating,8,50,False,Australia,2025-02,2025-04,53,400
Bronte,NSW,2024,AU,N,2025-02-24,2025-04-12,Single Day Entry,1,50,False,Australia,2025-02,2025-04,47,50
Bronte,NSW,2024,AU,N,2025-02-25,2025-04-12,Single Day Entry,2,50,False,Australia,2025-02,2025-04,46,100
Morisset,NSW,2264,AU,Y,2025-02-26,2025-04-18,After 4pm Entry,1,35,False,Australia,2025-02,2025-04,51,35
Manly,NSW,2095,AU,N,2025-02-27,2025-04-17,Single Day Entry,2,50,False,Australia,2025-02,2025-04,49,100
